"id","address","sheet","label","type","format","formula","value","rules","version"
"7164","TLAC30",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7165","TLAC31",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7166","TLAC32",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7167","TLAC33",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7168","TLAC34",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7169","TLAC35",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7170","TLAC36",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7171","TLAC37",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7172","TLAC38",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7173","TLAC39",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7174","TLAC40",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7175","TLAC41",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7176","TLAC42",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7177","TLAC43",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7178","TLAC44",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7179","TLAC45",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7180","TLAC46",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7181","TLAC47",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7182","TLAC48",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7183","TLAC49",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7184","TLAC50",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7185","TLAC51",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7186","TLAC52",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7187","TLAC53",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7188","TLAC54",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7189","TLAC55",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7190","TLAC56",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7191","TLAC57",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7192","TLAC58",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7193","TLAC59",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7194","TLAC60",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7195","TLAC61",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7196","TLAC62",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7197","TLAC63",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7198","TLAC64",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
"7199","TLAC65",NULL,"Maint % Yearly","float",NULL,NULL,"0.18",NULL,"749"
